words,sentiment_coeff
g,2.436371903676394
bsa,3.9998632396253635
d,4.615631520108096
buka,6.428647963639008
ya,20.12548182833954
min,16.077804316996474
kuota,20.400002087964097
mana,7.75550262385769
subsidi,16.424541165590494
face,23.94985984591047
with,23.611044010781132
tears,15.225630841782104
of,14.599676595500178
joy,11.652775888603353
ni,10.132092299437364
punten,10.936039872698299
ini,27.032351447531287
mah,8.795444801449408
keburu,6.303114177397781
uas,12.637010979439868
dulu,15.660432547051538
wkwkwk,5.990517247721101
rolling,20.22369151744185
on,13.931538421954992
the,13.901446873578898
floor,15.8816602641892
laughing,15.702596867252138
please,3.9306371076691105
2,9.857094495096318
donk,4.75539271465705
udah,18.96129084884488
full,4.509715432017495
utk,13.452100240564711
300,3.581895316936221
org,18.263484058208185
nya,21.743351687956956
kapan,5.27030607568657
eyes,13.743825228007266
hehe,13.464566986850603
dapet,7.268261216450961
ga,15.879250785867304
sedih,10.548506411991665
udh,17.567245391306468
kali,3.920378337187266
loudly,22.644803515935422
crying,19.991453332194787
p,4.559315031918696
saya,28.03839804470182
selama,11.9179649275084
hari,10.567134001302076
((,2.7055942395057015
minta,4.419059533412175
nomer,1.809646695496786
dong,15.154276198608368
janji,3.0396745590126515
gimana,8.791752838354096
pak,24.606145246377032
kuotanya,7.694372766590685
sampe,9.720037925357097
abis,6.041688577216261
wifi,13.659564648175921
indihome,5.578419537099986
mulu,2.628135483992956
(,7.4569358670613815
hey,3.643110046090403
jangan,17.087558738518737
april,11.005619920945882
mop,3.2941699939576594
y,7.367797876916114
hand,11.081765679534433
over,8.742309352925774
mouth,15.793001142749468
masa,12.81211670724805
sama,13.107410512953546
negeri,14.182969861874254
sih,12.848807946036754
kek,10.32785240990941
mereka,24.114293637030066
dpt,18.625075153696326
loh,7.602821154754111
dan,29.671134963197932
dg,19.848970338808027
telkom,21.204059676660673
blm,8.833489733246774
kan,12.612567376949887
gk,5.577070017402592
oh,5.653679287125804
k,2.7351971655763045
katanya,10.794382805561995
kami,27.058805467637313
belum,22.663867830218084
masuk,5.046865778737817
nih,10.551355744638256
butuh,8.876679450391974
u,15.586409156035879
a,8.67479551880497
n,1.4127859027114182
khas,1.5652072611756849
kartu,9.114679479800547
telkomsel,12.638755390065596
slur,4.710322362891153
baca,4.2730516619508
akan,16.698537861929953
di,25.670098798085004
transfer,7.883706482934055
setelah,11.276995030695803
tanggal,8.38560672100541
8,9.531793314765572
bukan,10.366388211083422
pas,10.969740505347822
tgl,10.375484016709349
jadi,12.786423097001768
kalo,20.462859342017904
juga,23.557310129908483
kena,12.968161671814409
dia,6.318258215979501
selamat,4.212886099292551
woman,3.8803609282152314
dancing,4.880490983009531
lama,9.592957148117275
ngga,6.78575271075713
assalamualaikum,10.319644234255115
pun10,16.311039179979446
terus,8.992201925714136
pulsa,4.974366438051705
keluar,11.671437181551093
rumah,12.659909348821731
dah,8.280586368627068
buat,22.349592859090222
belajar,12.753559942948321
bulan,3.177974647578778
tpi,20.449264800182192
kouta,4.981675686369007
karena,23.09182931461767
semua,19.891639781166845
mau,25.284310090541325
apa,12.344022635368288
sekali,10.507665454615738
pa,11.883281940251178
univ,12.951427528914117
yg,28.860076922054972
spp,8.87337360152147
itu,13.811511003396197
kita,26.47480443058427
lucu,7.731106183997186
folded,17.17747863040405
hands,14.239074539068865
da,3.9795715594733854
semoga,19.239648878279354
bpp,18.442847059281977
semester,14.815724753061124
depan,4.815339976450132
gak,14.73325214453669
tp,21.72535359887457
tetep,5.17126553782554
tak,10.902334670101986
kampus,14.680569555216598
lain,8.429576033808777
tidak,21.054195874878666
ada,22.88279881445002
gratis,7.005546090800097
kompensasi,3.661795137141967
bgt,9.850226794727362
wkwkwkwk,2.6883939573538185
internetnya,1.2864832563701658
iya,15.21786462014611
v,3.51039848094701
nah,8.438466685735833
kirain,1.8411052459119799
duit,7.963775940095206
kakak,3.0809086337032143
banyak,18.797094993123522
smiling,12.108888315131196
heart,13.296965097814004
yang,28.347989528796663
siapa,2.652303830993353
masih,15.07277324632768
beaming,11.41511909388851
pada,19.826683780469835
ngasih,8.528258020047797
atau,20.793529754531342
telyu,9.399850865567634
dari,17.030621719722305
kemarin,4.879887047648969
cuma,7.8469912661181125
check,7.449619062925767
in,16.56068722228123
doang,15.08928186011675
cashback,4.966889139417212
fasilitas,6.681343401213037
50%,9.710754667144291
lumayan,1.2414825212917675
up,13.412408982061724
kudu,6.1477471581351155
we,6.034126982896995
aing,5.042625400008161
bahan,8.809873988884092
ka,5.320997166267068
kuliah,20.82154879919831
online,20.442424596227383
harus,11.782091718469257
pake,16.160470069993472
mahal,17.512921666760498
input,2.393780968324767
mahasiswa,21.04566292176771
pulang,15.930186391888306
ke,27.39853095151287
seluruh,2.30333610268921
indonesia,13.942593306378043
khawatir,7.719299139528108
daerah,19.050311700655797
masing2,6.78755468256058
nama,11.016043814894234
dimana,10.530494444068994
beberapa,13.953900864461044
dosen,17.635530310346116
hanya,20.381504951756035
memberi,12.76405838314054
materi,19.483589884407326
tugas,26.042514327529393
diberikan,20.439488831012753
dengan,18.832596729223045
waktu,17.78177289123703
setiap,17.41874051650712
selalu,7.702237245146303
jika,7.952201655863535
ingin,15.805858655308025
informasi,9.462908575770303
saat,10.58107135381118
perkuliahan,15.190479730667924
tolong,11.050762305415656
lah,6.513629406672833
untuk,27.725940886054882
apalagi,13.985137863672408
bandung,11.128730549940666
29,6.765447973544557
tanpa,12.248411927672903
lebih,24.83394569711574
rasa,12.688344600412018
mohon,23.11647120433754
maaf,12.499301157771924
